team_id,team_name,squad_size,squad_avg_age,squad_median_age,num_goalkeepers,num_defenders,num_midfielders,num_forwards
778,Algeria,26,26.46153846153846,26.0,3,9,8,6
762,Argentina,26,28.615384615384617,28.0,3,9,8,6
779,Australia,26,26.884615384615383,26.5,3,10,8,5
816,Austria,26,28.115384615384617,28.0,3,9,11,3
805,Belgium,26,27.115384615384617,25.5,3,9,10,4
1060,Bosnia-Herzegovina,26,25.923076923076923,27.0,3,8,8,7
764,Brazil,26,28.653846153846153,28.5,3,9,5,9
828,Canada,26,26.46153846153846,26.0,3,8,9,6
1930,Cape Verde Islands,26,29.23076923076923,29.0,3,8,8,7
818,Colombia,26,29.615384615384617,29.0,3,8,10,5
1934,Congo DR,26,28.5,29.0,3,8,7,8
799,Croatia,26,27.884615384615383,28.0,3,7,10,6
9460,Curaçao,26,27.53846153846154,26.5,3,11,4,8
798,Czechia,26,27.23076923076923,27.0,3,7,11,5
791,Ecuador,26,25.576923076923077,25.0,3,8,8,7
825,Egypt,26,28.653846153846153,28.5,4,8,9,5
770,England,26,26.615384615384617,25.5,3,9,8,6
773,France,26,26.576923076923077,27.0,3,9,8,6
759,Germany,26,27.615384615384617,27.5,3,7,10,6
763,Ghana,26,26.423076923076923,26.5,3,9,5,9
836,Haiti,26,27.0,26.0,3,9,6,8
840,Iran,26,29.846153846153847,31.0,3,9,6,8
8062,Iraq,26,26.653846153846153,25.5,3,9,8,6
1935,Ivory Coast,26,25.346153846153847,25.0,3,8,7,8
766,Japan,26,27.192307692307693,27.0,3,9,7,7
8049,Jordan,26,28.03846153846154,28.5,3,8,7,8
769,Mexico,26,27.5,28.0,3,6,9,8
815,Morocco,26,25.884615384615383,25.5,3,9,9,5
8601,Netherlands,26,27.26923076923077,27.0,3,7,11,5
783,New Zealand,26,27.615384615384617,27.0,3,9,7,7
8872,Norway,26,26.346153846153847,26.5,3,9,9,5
1836,Panama,26,30.0,29.5,3,10,9,4
761,Paraguay,26,28.53846153846154,29.0,3,8,8,7
765,Portugal,26,27.53846153846154,26.5,3,9,7,7
8030,Qatar,26,28.846153846153847,29.0,3,9,8,6
801,Saudi Arabia,26,27.96153846153846,26.5,3,9,9,5
8873,Scotland,26,29.08,29.0,3,10,8,5
804,Senegal,27,27.296296296296298,26.0,3,7,10,6
774,South Africa,26,26.346153846153847,25.5,3,10,7,6
772,South Korea,26,27.46153846153846,28.0,3,9,8,6
760,Spain,26,26.192307692307693,26.5,3,7,11,5
792,Sweden,26,27.0,27.0,3,10,7,6
788,Switzerland,26,27.807692307692307,28.5,3,8,10,5
802,Tunisia,26,26.153846153846153,26.5,3,10,7,6
803,Turkey,26,27.23076923076923,27.0,3,10,8,5
771,United States,26,26.423076923076923,26.5,3,9,8,6
758,Uruguay,26,28.192307692307693,27.0,3,9,10,4
8070,Uzbekistan,26,27.653846153846153,28.0,3,10,9,4
